3038940,Basera dels Tolls de l‚ÄôOlla,Basera dels Tolls de l'Olla,,42.48484,1.45301,T,CLF,AD,,6,,,,0,,1221,Europe/Andorra,08-03-15
3038941,Tolls de l‚ÄôOlla,Tolls de l'Olla,,42.46535,1.56957,L,LCTY,AD,,8,,,,0,,2327,Europe/Andorra,08-04-15
3038942,Torrent del Tirader,Torrent del Tirader,,42.53145,1.58845,H,STM,AD,,3,,,,0,,1427,Europe/Andorra,06-02-15
3038943,Canal del Timbarro,Canal del Timbarro,,42.50307,1.47727,H,STM,AD,,7,,,,0,,1558,Europe/Andorra,08-03-15
3038944,Terres de Serra,Terres de Serra,,42.4779,1.50509,L,LCTY,AD,,6,,,,0,,1466,Europe/Andorra,08-03-15
3038945,Terres de Sant Miguel,Terres de Sant Miguel,,42.49748,1.57716,L,LCTY,AD,,8,,,,0,,1684,Europe/Andorra,06-05-15
3038946,Terres del Torrent Preg√≥,Terres del Torrent Prego,,42.54814,1.59154,L,LCTY,AD,,2,,,,0,,1397,Europe/Andorra,06-02-15
3038947,Terres del Sol√ ,Terres del Sola,,42.54187,1.54338,L,LCTY,AD,,4,,,,0,,1550,Europe/Andorra,06-02-15
3038948,Terres de Jacques,Terres de Jacques,,42.56995,1.61431,L,LCTY,AD,,2,,,,0,,1692,Europe/Andorra,03-12-14
3038949,Obaga de les Terres de Casamanya,Obaga de les Terres de Casamanya,,42.57117,1.55095,T,SLP,AD,,5,,,,0,,1787,Europe/Andorra,03-12-14
3038950,Canal del Terrer Roig,Canal del Terrer Roig,,42.5881,1.46094,H,STM,AD,,4,,,,0,,2017,Europe/Andorra,05-11-14
3038951,Terrer Roig,Terrer Roig,,42.58892,1.45395,L,LCTY,AD,,4,,,,0,,2398,Europe/Andorra,05-11-14
3038952,Clots dels Terregalls,Clots dels Terregalls,,42.62292,1.61256,H,STMH,AD,,2,,,,0,,2537,Europe/Andorra,05-11-14
3038953,Terregalls,Terregalls,,42.49527,1.52939,L,LCTY,AD,,7,,,,0,,1515,Europe/Andorra,06-05-15
3038954,Terra del Pou,Terra del Pou,,42.47431,1.48904,L,LCTY,AD,,6,,,,0,,992,Europe/Andorra,08-04-15
